ID	Long	Lat	Present	Stable_noExpand	Stable_WhithExpand	Leading	Future	Trailing	prop_perda	Turnover_beta	Nestedness_beta	Dissimilarity_beta
362	45.5	20.5	0	0	0	0	0	0	0	0	0	0
363	45.5	21.5	0	0	0	0	0	0	0	0	0	0
364	45.5	22.5	0	0	0	0	0	0	0	0	0	0
365	45.5	23.5	0	0	0	0	0	0	0	0	0	0
366	45.5	24.5	0	0	0	0	0	0	0	0	0	0
367	45.5	25.5	0	0	0	0	0	0	0	0	0	0
368	45.5	26.5	0	0	0	0	0	0	0	0	0	0
369	45.5	27.5	0	0	0	0	0	0	0	0	0	0
370	45.5	28.5	0	0	0	0	0	0	0	0	0	0
371	45.5	29.5	0	0	0	0	0	0	0	0	0	0
372	45.5	30.5	0	0	0	0	0	0	0	0	0	0
373	45.5	31.5	0	0	0	0	0	0	0	0	0	0
374	45.5	32.5	0	0	0	0	0	0	0	0	0	0
375	45.5	33.5	3	0	1	1	4	3	0.333333333	0	0	0
376	45.5	34.5	3	2	2	0	3	1	0	0	0	0
377	45.5	35.5	3	1	2	1	4	2	0.333333333	0	0	0
378	45.5	36.5	4	3	4	1	5	1	0.25	0	0.111111111	0.111111111
379	45.5	37.5	5	2	2	0	5	3	0	0	0	0
380	45.5	38.5	4	1	1	0	4	3	0	0	0	0
381	45.5	39.5	4	1	1	0	4	3	0	0	0	0
382	45.5	40.5	5	1	1	0	5	4	0	0	0	0
383	45.5	41.5	10	2	2	0	10	8	0	0	0	0
384	45.5	42.5	8	6	6	0	8	2	0	0	0	0
385	46.5	13.5	3	2	2	0	3	1	0	0	0	0
386	46.5	14.5	3	3	3	0	3	0	0	0	0	0
387	46.5	15.5	0	0	0	0	0	0	0	0	0	0
388	46.5	16.5	0	0	1	1	1	0	0	0	0	1
389	46.5	17.5	0	0	0	0	0	0	0	0	0	0
390	46.5	18.5	0	0	0	0	0	0	0	0	0	0
391	46.5	19.5	0	0	0	0	0	0	0	0	0	0
392	46.5	20.5	0	0	0	0	0	0	0	0	0	0
393	46.5	21.5	0	0	0	0	0	0	0	0	0	0
394	46.5	22.5	0	0	0	0	0	0	0	0	0	0
395	46.5	23.5	0	0	0	0	0	0	0	0	0	0
396	46.5	24.5	0	0	0	0	0	0	0	0	0	0
397	46.5	25.5	0	0	0	0	0	0	0	0	0	0
398	46.5	26.5	0	0	0	0	0	0	0	0	0	0
399	46.5	27.5	0	0	0	0	0	0	0	0	0	0
400	46.5	28.5	0	0	0	0	0	0	0	0	0	0
401	46.5	29.5	0	0	0	0	0	0	0	0	0	0
402	46.5	30.5	0	0	0	0	0	0	0	0	0	0
403	46.5	31.5	0	0	0	0	0	0	0	0	0	0
404	46.5	32.5	4	0	0	0	3	3	-0.25	0	0.142857143	0.142857143
405	46.5	33.5	4	0	0	0	3	3	-0.25	0	0.142857143	0.142857143
406	46.5	34.5	5	1	2	1	5	3	0	0	0.111111111	0.111111111
407	46.5	35.5	4	0	0	0	3	3	-0.25	0	0.142857143	0.142857143
408	46.5	36.5	3	0	0	0	3	3	0	0	0	0
409	46.5	37.5	4	0	1	1	5	4	0.25	0	0	0
410	46.5	38.5	4	3	3	0	4	1	0	0	0	0
411	46.5	39.5	4	1	2	1	5	3	0.25	0	0	0
412	46.5	40.5	5	3	3	0	5	2	0	0	0	0
413	46.5	41.5	7	5	5	0	7	2	0	0	0	0
414	46.5	42.5	5	0	2	2	7	5	0.4	0	0	0
415	46.5	48.5	3	0	0	0	3	3	0	0	0	0
